planet_name,koi_period,koi_duration,koi_depth,koi_prad,koi_srad,koi_model_snr,koi_impact,koi_steff,koi_slogg,koi_teq,koi_insol,koi_disposition
6509282,3.98916186,1.913,318.0,28.1,16.187,16.3,0.08,4998.0,2.524,3293.0,27838.74,CANDIDATE
8231667,42.8774169,1.991,1068.8,2.67,0.832,14.8,0.02,5256.0,4.483,451.0,9.8,CONFIRMED
6697817,190.800788,8.082,287.6,1.67,0.986,13.0,0.066,5993.0,4.489,321.0,2.51,CANDIDATE
3439096,2.97601892,5.5,306.1,164.46,7.746,35.3,1.176,5140.0,2.955,2799.0,14524.05,FALSE POSITIVE
3324644,2.882424694,25.91,67298.0,399.44,8.058,416.2,1.051,4705.0,2.667,2912.0,17023.71,FALSE POSITIVE
5437945,220.142913,19.528,1796.4,5.94,1.393,121.2,0.023,6340.0,4.163,389.0,5.4,CONFIRMED
1161949,473.95103,11.778,330.6,3.32,1.81,9.6,0.1671,6513.0,4.02,341.0,3.21,FALSE POSITIVE
4077252,0.534109403,0.9513,78.3,2.28,2.432,37.0,0.476,10747.0,4.1,5513.0,217941.01,FALSE POSITIVE
4077767,168.77118,2.263,2045.0,2825.04,0.719,5.5,36.9452,4936.0,4.597,251.0,0.93,FALSE POSITIVE
4135912,29.6094263,2.71,224.9,2.87,1.783,10.8,0.719,6079.0,4.059,789.0,91.56,CANDIDATE
4144238,22.9138322,4.855,340.3,30.24,1.334,8.0,1.189,6154.0,4.201,785.0,89.68,FALSE POSITIVE
4147171,538.36855,19.26,545.5,2.37,1.015,7.0,0.0671,6148.0,4.461,237.0,0.74,FALSE POSITIVE
4149060,65.5327181,2.256,373.4,1.79,0.923,5.9,0.3023,5755.0,4.48,437.0,8.61,FALSE POSITIVE
4150972,161.537665,2.65,101.8,1.37,1.358,5.9,0.2175,6033.0,4.218,400.0,6.04,CANDIDATE
4160006,1.018360336,7.622,393970.0,107.0,1.463,967.4,0.553,6160.0,4.144,2302.0,6627.64,FALSE POSITIVE
5436455,209.967521,2.585,120.0,1.16,1.042,7.1,0.2723,6437.0,4.439,344.0,3.29,CANDIDATE
5439000,369.73011,14.27,274.8,1.66,0.999,9.6,0.1236,6283.0,4.453,274.0,1.34,CANDIDATE
